
10-MAY-1990	0:45

TOTAL PAGES 451721  FILES 35369

  INHOUSE	QUOTA		  OVER		OUTHOUSE

  0   3660  559  10000 OLD11
  0      0    0  25000 OLDFILES
  0      0    0 250000 OPER
  0    903   38   6250 OPERDOC
  0      2    1  25000 OSARC
  0   2101  306  25000 OSB
  0   3748  150   5000 OSFT
  1   6342  376  25000 OSMAN
  0   1484   79  25000 OSNF
  0   1444   18  20000 OSP
  0   2509  226  10000 OSU
  0     20    4    100 PARTY
  2   9807 1693  15000 PASBLD
  0      0    0   1000 PASCALDOC
  0      0    0   1000 PASCALIB
  0      0    0   1000 PASCALQA
  0    308   36   1000 PASCALX
  0      0    0   1000 PASCOOR
  0   2395  373   8000 PASDOC
  0      0    0   1000 PASGDOC
  0      0    0   1000 PASGQA
  0      0    0   1000 PASGSRC
  0   4019  214   5000 PASHOW
  0      0    0   1000 PASIDOC
  0      0    0   1000 PASIQA
  0      0    0   1000 PASISRC
  0   3673  753   8000 PASLIB
  0   1395   54   5000 PASNEW
  0    940   40   4000 PASOLD
  0      0    0   1000 PASPROC
  0   1822  738   8000 PASQA
  0      0    0   1000 PASRELCR
  0   3855  748   8000 PASSAV
  0    396   23   1000 PASSFRAME
  0   3668  758   8000 PASSRC
  0      0    0   1000 PASULIB
  0      0    0   1000 PASXMIT
  0   2183  112  10000 PEAK
  0    815   65  10000 PEAK.OLD
  0     27    9   2500 PEAK1
  0     54   10   2500 PEAKDOC
  0   2844   70   5000 PEAKX
  0     54   17   1250 PERPOPER
  0    153   35   2500 PJ
  0    173   35   1500 PKRUMV
  0      3    1   5000 PNTS
  0    107   21   1250 POINTERC
  0    276   20   1000 PRODUCTLIST
  0     88   13   5000 PRT
  0   1186   39   2000 PUB
  0     10    5 100000 QABUILDM33
  0     34   10  62500 QABUILDOSC
  0      2    1 250000 QALIBSYM
  0    832   49   2500 QASYS
  0      0    0   1000 RCMTEST
  0      4    2   2000 REGIS
  0    301    4   1250 RKLUTE
  0    102   14  25000 RMURPHY
  0     35   16   1250 RODRIGUEZL
  0     29    2   1000 RUSSELLB
  0     31    8  62500 SAFIYEG
  0   2188  174   3000 SAIL
  0    366   13  25000 SAILFOO
  0   2267  415   5000 SAILIB
  0   2829  213   3000 SAILTEST
  0     18    7   1000 SALLY
  0    819  279  10000 SALTYRON
  0     81   16   1000 SCAPIK
  0    185   12   1250 SLIAPLQA
  0    222   20   1250 SLIAPL10
  0    592   71   2500 SLISYS
  0     25    1  10000 SMITHDE
  0   1765  349   2000 SOCCI
  0   2376  272   5000 SPL
  0    195   36 250000 SPOOL
  0      0    0    250 SPOOLING
  1   5447  244  10000 SPPARCH
  0   1607  216   5000 SPPOPER
  0      0    0   1000 SPTBAQA
  0      0    0   1000 SPTBARK
  0      0    0   1000 SPUNKDEV
  0    590   17   1250 SPUNKDOC
  0      0    0   1000 SPUNKREV
  0      0    0   1000 SPUNKTEST
  0   1160   83   5000 SRA
  0    166   11   1250 SRACRT
  0    112    8   1250 SRAFT
  0     11    1   1250 SRAMOV
  0     38    4 100000 SRATECH
  0    261   22 100000 SRAUTIL
  0     70    6   5000 SRAVAL
  0    236   23  10000 SSBACKUP
  0      3    1  99999 SSEREP
  0    421   42  12500 SSINSTALL
  0     14    7  25000 SSPAMBIN
  0      4    2  25000 SSPAMSYM
  0   1003   69   5000 SSPERP
  0   2748   87   5000 SSPRINT
  0   1181   44   2000 SSSPOOL
  0      4    2   1250 SSUTIL
  0   2101  129   5000 SSVALSUP
  0   3079  353  10000 SUBMIT
  0    231   17   6250 SUPCHK
  0      2    1  62500 SWORK
 10  46814 1335 999999 SYS
  0     22    7  25000 SYS0025TT
  0    193    9   1250 SYSADM20
  0     34    5   1250 SYSADM21
  0      0    0   1250 SYSBACKUP
  0    133   56   1250 SYSDOC
  0   1737  111   3000 SYSFIL
  0      3    1  62500 SYSINFO
  0   1269   59   5000 SYSMAINT
  0     14    6   2500 SYSNEWS
  0      2    1  10000 SYSTEMS-JOE
  0      0    0  10000 T10AIL
  0   1043  193   1000#TBAFTDEB  43
