861214 31=20 32=20
861221 31=20 32=20
861228 12=16 31=12 32=12
870104 12=8 31=20 32=12
870111 41=6 32=28 31=20
870118 32=20 31=20
870125 31=28 32=20
870201 45=44,1915,1104 31=12,2214,1628
870208 45=42,1915,1104 31=6
870215 45=56,1915,1104 31=1
870222 45=37,1915,1104 31=4
870301 45=33,1915,1104 13=16 31=2,2214,1628
870308 45=30,1915,1104 13=16 31=1,2214,1628
870315 45=48,1915,1104
870322 45=61,1915,1104 31=2
870329 45=47,1915,1104 31=3
870405 45=64,1915,1104
870412 45=48,1915,1104 31=4
870419 45=42,1915,1104 31=3
870426 11=40 20=1
870503 11=40 20=1
870510 11=40 20=1
870517 20=9 45=13,1915,1104 31=10,2420,2190
870524 20=2 45=36,1915,1104 31=6,2420,2190
870531 20=2 32=6 45=15,1915,1104 31=6,2420,2190 12=8
870607 13=24 45=12,1915,1104 30=8 
870614 13=4 45=30,1915,1104 20=5 31=1 32=2
870621 45=35,1915,1104 46=7,1915,1104 20=1 31=1 32=1
870628 45=27,1915,1104 46=18,1915,1104 20=1 31=6 32=12
870705 45=16,1915,1104 46=16,1915,1104 20=2 31=4 32=8
870712 45=16,1915,1104 46=22,1915,1104 20=1 31=2 14=8
870719 45=8,1915,1104 46=4,1915,1104 14=32
870726 46=36,1915,2302 31=2
870802 46=30,1915,2302 31=3 20=8
870809 20=16 46=16,1915,2302 31=8 32=12
870816 46=42,1915,2302 30=4,1915,2302 31=4 20=2
870823 45=23,1915,2302 30=12,1915,2302 31=6 20=2
870830 45=12,1915,2302 30=21,1915,2302 31=8 20=2
870906 45=4,1915,2302 30=24,1915,2302 31=8 20=2
870913 12=8 45=16,1915,2302 30=2,1915,2302 31=5 21=1
870920 45=26,1915,2302 30=2,1915,2302 31=4 20=1
870927 30=1 46=14,1915,2302 30=8,1915,2302 21=1
871004 20=2 46=44,1915,2302
871011 20=2 32=6 46=42,1915,2302
871018 20=2 46=47,1915,2302
871025 20=2 46=51,1915,2302
871101 20=3 22=4 46=30,1915,2302
871108 20=4 31=5 46=30,1915,2302
871115 20=3 31=5 46=35,1915,2302
871122 20=3 31=8 32=12 46=15,1915,2302
871129 20=3 31=10 11=8 46=4,1915,2302 12=16
871206 11=8 20=3 30=1 31=16 46=8,1915,2302
871213 13=16 20=3 31=8 46=24,1915,2302
871220 20=3 31=8 46=32,1915,2302
871227 20=3 31=8 46=16,1915,2302 12=16
880103 20=3 31=8 46=20,1915,2302 12=8
880110 13=40
880117 13=40
880124 31=8 32=4 20=3 46=29,1915,2302
880131 31=8 32=4 13=4 46=24,1915,2302 20=3
880207 31=12 46=32,1915,2302 20=4
880214 31=12 46=32,1915,2302 20=4 
880221 31=16 46=35,1915,2302 20=5 
880228 31=16 46=35,1915,2302 20=4
880501 11=40
880508 31=16 46=32,1915,2302 20=4 
880515 31=24 46=24,1915,2302 20=4 
880522 31=16 46=28,1915,2302 20=4 
880529 31=16 46=36,1915,2302 20=4 
880605 31=12 46=36,1915,2302 20=4 
880612 31=12 46=36,1915,2302 20=4 
880619 31=8 46=24,1915,2302 20=4 
880626 31=4 46=28,1915,2302 42=12,1915,2302 20=6 
880703 31=3 46=15,1915,2302 42=4,1915,2302 20=3 
880710 12=16 31=3 46=12,1915,2302 20=3 30=4,1915,2302 
880717 31=2 46=39,1915,2302 20=1 
880724 31=3 46=35,1915,2302 20=1 
880731 31=2 46=72,1915,2302 20=1 
880807 31=2 46=40,1915,2302 20=1 
880814 31=2 46=32,1915,2302 20=1 
880821 22=24 24=16
880828 11=40
880904 20=10 46=6,1915,2302 32=12 
880911 20=8 46=20,1915,2302 32=16 
880918 20=6 46=16,1915,2302 32=16 
880925 20=16 46=12,1915,2302 32=8 
881002 
