0205712200926TSUCOOP          3 50527  31           010            270      1821220
0205712200926TSUCOOP          3 50527  31           011     1 10             821220
0205812200927TSUCOOP          3 50527  31           010            270      1821220
0205812200927TSUCOOP          3 50527  31           011     1 10             821220
0205912200927TSUCOOP          3 50527  31           010            270      1821220
0205912200927TSUCOOP          3 50527  31           011     1 10             821220
0206012200928TSUCOOP          3 50527  31           010            270      1821220
0206012200928TSUCOOP          3 50527  31           011     1 10             821220
0206112200929TSUCOOP          3 50527  31           010            270      1821220
0206112200929TSUCOOP          3 50527  31           011     1 10             821220
0206212200949TSUCOOP          3 50527  31           010            270      1821220
0206212200949TSUCOOP          3 50527  31           011     1 10             821220
0206312200950TSUCOOP          3 50527  31           010            270      1821220
0206312200950TSUCOOP          3 50527  31           011     1 10             821220
0206412200951TSUCOOP          3 50527  31           010            270      1821220
0206412200951TSUCOOP          3 50527  31           011     1 10             821220
0206512200951TSUCOOP          3 50527  31           010            270      1821220
0206512200951TSUCOOP          3 50527  31           011     1 10             821220
0206612200952TSUCOOP          3 50527  31           010            270      1821220
0206612200952TSUCOOP          3 50527  31           011     1 10             821220
