STORE	.LST		;Prune file for files mentioned in STORE
I	.MAC		;Yet another INIT program
INIT	.MAC		;Yet another INIT program
EXIST	.MEM		;What SAIL directories exist, and what they are
LISTER	.MEM		;MEMO: how to print out on DYNASTY
PUBFIX	.MEM		;Note on how to fiddle PUB storage allocation
STORE	.MEM		;MEMO: storage alloc Techniques [esp SAIL]
STRING	.MEM		;STRING SPACE implementation notes for multi-width strings
PRUNE	.MOD		;Comments about current PRUNE
INSET	.NEW		;SAIL runtime INSET -- how to fix (?)
IOSER	.NEW		;T10/tym-x I/O runtimes (newer version)
ORDER	.NEW		;Proposed new SCISS ORDER file (gives format)
MDF	.NOT		;Notes on the proposed "Multi-file" file
DART	.OLD		;SNAIL DARTER:SUAI DART-format reader [NFG?]
G2	.OLD		;The "great galaxies" program
GOGOL	.OLD	SAIL	;SAIL -- massive needed runtimes
MAKTAB	.OLD	SAIL	;Constructs SAIL's start!code optable for TYM-X
PFLSCN	.OSA		;Profile program stuff
GETHAM	.OUT		;HAMMING code code ??
FRAID	.PER		;Compile command for fraid
CLUMP	.PIC	CABNET	;Sample map (proposed) of cabnet file
MILSTB	.PUB		;MileStone (2) source -- hand-coded SYSCALs
MILSTC	.PUB		;MileStone (3) source -- String multi-width in
MAIN	.RAI	SPLITRAID	;Main program / command loop
MISC	.RAI	SPLITRAID	;Some miscellaneous pages (should be in SORT?)
ROUTS	.RAI	SPLITRAID	;Routines which correspond to commands
SCAN	.RAI	SPLITRAID	;Input and EVAL
SORT	.RAI	SPLITRAID	;Sort a normal symbol table
SUBS	.RAI	SPLITRAID	;Subroutines including output formatters
VERPRT	.REL		;Prints user/compiler versions of modules in SAIL
PFLSCN	.REQ		;Profile program stuff
ZOOM	.REQ		;Old XSEARCH sources (?)
A	.SAI		;Another RUBIC program
ANSIRD	.SAI		;Read ANSI stand labelled tapes (?)
AREA	.SAI		;A cute program to find area of polygon
ASSERT	.SAI		;The ASSERT macro definer
ASSGN	.SAI		;"zero bug" -- something to do with assignment
AUXCOD	.SAI		;Create an AUX circuit code
BAIL	.SAI	SAIL	;Source code for good old BAIL
BINASC	.SAI		;Attempt to classify a file as Binary or Ascii
BIO	.SAI		;Paging calls in SAIL--an experiment
BITMAP	.SAI		;Fiddles with paging system "accessed" bits
BKFNS	.SAI		;Break table functions (particularly read)
BLINK	.SAI		;Random printer (ADM-3)
BLOAT	.SAI	BLOAT	;Bloat expands shrunken files (hamm-compressed)
BLOAT2	.SAI	BLOAT	;Bloat expands shrunken files (hamm-compressed)
BLOCK	.SAI		;Block lettering
BLOCKP	.SAI		;Block lettering
BOX	.SAI	CABNET	;An attempt at starting "CABNET"
BSPLIN	.SAI		;Forms a Cubic B-SPLINE (graphics curve on points)
BTST	.SAI		;Tiny program showing constants BUG
BUFINT	.SAI		;Buffering interrupt code for circuits(w/ find?)
BUG22	.SAI		;Long real muncher (w/ CVOL,CVLOS,...)
BUGFTS	.SAI		;Some bugs for an FTSAIL compiler
BUGNEW	.SAI		;Some more SAIL bugs
BUX	.SAI		;R!P field access error (?)
BYTDIF	.SAI		;Has "difference of two byte pointers" routine
C3	.SAI		;DARCSIN and DARCCOS routines
CABNET	.SAI	CABNET	;An attempt at starting "CABNET"
CASE	.SAI		;Exercises the nrew case statement goodies
CH	.SAI		;Check out character set.
CKS	.SAI		;SAIL editor-free (sort of) Checksummer v6
CLEAN	.SAI		;Fiddles white space
CLUMP	.SAI	CABNET	;Program for some of cabnet function
CMPRE2	.SAI		;Text and so on compression (Hamming code?)
CMPRES	.SAI		;Text and so on compression (Hamming code?)
CT3	.SAI		;Full FDB print
CT9	.SAI		;History keeper for small programs
DART	.SAI		;SNAIL DARTER:SUAI DART-format reader [NFG?]
DARTRD	.SAI		;SNAIL DARTER:SUAI DART-format reader [NFG?]
DIFDIF	.SAI		;Program to compare two corresponding sets of files
DMATH	.SAI		;Double procedures like setxp...
DRAN	.SAI		;Double-precision raandom number
DRYDOC	.SAI		;SAIL profiling program
DSQRT	.SAI		;Yup, Double-precision Square root
DT	.SAI		;Check out DMATH double precision code
DTRIG	.SAI		;Double precision Trig functions
DTRIG2	.SAI		;Double precision Trig functions
DTRIG3	.SAI		;Double precision Trig functions
EXAM	.SAI		;Interprets "FRB" parts of DART tapes (see DART)
F	.SAI		;New FIND program (v '13)
F2	.SAI		;Microfiching project -- put file on fiche
F3	.SAI		;Microfiching project -- put file on fiche
FICHE	.SAI		;Microfiching project -- put files on fiche
FRPBUG	.SAI		;Forward record!pointer "BUG" (no bug)
FTYP	.SAI		;Prints with "enhanced"versions of control chars
FULLDR	.SAI		;print full lookup block out
GALAXY	.SAI		;GAME: spiral galaxy
GALX	.SAI		;GAME: spiral galaxy
GETFIL	.SAI		;Open an input or output file (returns record)
GETHAM	.SAI		;HAMMING code code ??
GLOM	.SAI		;Program that "GLOMM"s onto screen contents of HP2621
GLOMM	.SAI		;Program that "GLOMM"s onto screen contents of HP2621
GLUE	.SAI		;Glues Zork map keeper and player
GOGTAB	.SAI		;GOGTAB documents and document assembler
GRABPR	.SAI		;Program to get lines which have procedure declarations
HELASC	.SAI		;Reads a valid HEL (SAIL prod descr) and makes printable
HELINT	.SAI		;Interprets HEL files
HEXIO	.SAI	LIB	;Routines CVHEX and CVHEXS
HPSTAT	.SAI		;Reads status of HP2621 (so you can tell is C-wrap ...)
HUFTRY	.SAI	HUFMANN	;Try a Huffmann code out
HX	.SAI		;FIND/XSEARCH once again
IDEAL	.SAI	WILDE	;Program to analyze script summaries
INIT	.SAI		;Yet another INIT program
LCNT	.SAI		;yet another FIND muncher (v10...)
LOADAL	.SAI		;A simple SAIL program that pulls in SAILIB
LXBUG	.SAI		;Some sort of bug in long reals
MA	.SAI		;A Zork "compressor"
MAGIC	.SAI		;Code for SAIL-smart useful routines
MAKLIB	.SAI	SAILIB	;Constructs a library from BSAIL/ESAIL stuff
MAKS39	.SAI	SAILIB	;Construct a Library from descriptions
MAKSLB	.SAI	SAILIB	;Construct a Library from descriptions
MAKTAB	.SAI	SAIL	;same as .OLD, but includes FRMOP for start!code
MAP	.SAI		;ZORK map keeper
MAP12	.SAI		;Zork Map keeper
MAP13	.SAI		;Zork Map keeper
MAP3	.SAI		;a ZORK map keeper
MAP36	.SAI		;Zork Map keeper
MAP6	.SAI		;a ZORK map keeper
MAP7	.SAI		;a ZORK map keeper
MAPCHK	.SAI		;code to do checkout of MAPping code
MAPCOP	.SAI		;Read an hand-mangle a file (cover HREs)
MAPPAG	.SAI		;Mapping calls source code (MAPxCR,GETMAP)
MAPPRT	.SAI		;Zork Map keeper
MAPX	.SAI		;Zork Map keeper
MATHCK	.SAI		;Hand-checkout for Floor,Fract functions
MATHOP	.SAI		;Floor and Fract functions
MHX	.SAI		;Source for MHX (to mangle a bit)
MT	.SAI		;BAIL-hook macro expander (good subrs)
MX	.SAI		;Precursor to FC (foo checker)
NAMFIL	.SAI	CABNET	;Experiment: See if file names nicely saved
OCTIO	.SAI	LIB	;Long real functions CVLRI,CVILR,CVLOS,LRSCAN
P1	.SAI		;Process implementation of SAIL parse !?
PAUX	.SAI		;Start of translation of PAUX program
