000001 000002
000001 000611
000004 005215
000004 005213
000006 000237
000004 000125
000004 000126
000004 005216
013107 126324
000003 152225
011011 253372
000003 251535
000004 134612
000004 133244
026007 343457
011346 263505
011334 112420
000004 167661
000004 146225
011447 220740
000003 700305
000003 700301
000001 044355
000001 040051
011447 221674
011011 251412
000004 000207
010455 151170
026452 346706
000013 146464
000004 155047
022013 231331
000004 205701
000004 144346
000001 077445
000001 227167
000004 202051
032715 315062
021477 214621
014717 231543
000003 212142
000001 317125
000003 317142
011447 256260
000003 700007
000013 063000
000003 700143
000003 700142
000003 700141
000003 700140
000003 700144
000003 700070
000003 700072
000003 700040
000003 700303
000003 700071
000003 700020
000003 700304
000003 700050
000003 700121
000003 700120
000004 162621
000003 352477
011447 216613
011334 050020
000003 212143
014717 216521
014717 216522
011447 236070
011016 205601
022013 236532
000003 006366
000003 254617
000003 234372
000003 777123
000003 343301
000003 700400
000003 112726
000001 077340
000003 213567
000003 346551
000003 123450
000003 314667
000001 216126
000003 232631
000007 146117
000001 315372
011447 254654
000011 357210
000003 367714
000003 274033
022013 252247
011011 330650
011011 145460
000001 151773
011334 245047
000003 152602
000003 232154
011010 200472
011010 220022
011011 232172
011011 232171
011334 201464
011334 247524
011334 054407
000003 326740
011447 143726
011334 316647
000001 205305
000003 333666
011334 126410
000014 164034
000003 771001
000003 771002
000003 377757
000003 377754
000003 377755
000003 377760
000003 377761
000003 377771
000003 377775
000003 377770
000003 035556
011011 220242
000014 076001
000003 222635
000003 377777
035676 376630
000004 242512
000001 277731
000003 230623
000003 230624
011334 147545
010467 151166
010550 265634
011020 200057
000004 161436
000004 202050
000003 314521
011011 145302
011016 300124
000003 163564
000003 700001
000003 367732
000003 777777
000003 000003
000003 700200
000003 700201
000003 700000
011011 204531
000003 042754
000003 700100
000003 700101
000007 136224
000003 167357
000003 377774
000001 067033
000003 156347
000003 160031
011447 252452
000007 320665
000003 231227
000007 266445
000001 114210
000003 365076
000004 052115
011334 247122
000003 123054
014717 034160
000003 213211
000003 111111
000003 700004
010551 105673
000003 211135
011334 240464
000004 157513
021477 175306
021476 261167
011334 230261
011334 050021
017705 251013
000003 700243
000003 700242
011447 157776
000003 700210
000003 700220
000003 700202
000014 000375
000003 314631
017705 250741
043511 304627
000003 700402
000001 000021
000003 145107
011346 124422
000003 156346
000003 140673
000003 140674
022013 062652
006036 160120
025400 234270
000003 700302
000003 377773
000003 377762
000003 377764
000003 377763
000003 377767
000003 377765
000003 377766
000003 225445
000001 214216
000006 000214
000004 173036
000004 076105
000004 120614
000003 700340
000003 377772
000003 234002
011447 216516
011447 125460
011447 216605
011447 121324
011447 246131
000004 166625
011334 240745
000004 163706
011447 206326
021477 321033
014717 275524
011011 216002
016316 252100
011020 231230
000003 212140
000003 000100
000003 212145
000003 242733
000001 101723
011447 143725
000004 115370
000004 005211
000001 022155
000004 306420
000003 206264
026132 240031
026132 240027
000001 251250
026007 244321
011447 336556
011334 230737
000003 001000
000003 167354
011011 225162
013107 167452
013107 146644
013107 146670
013107 146660
013107 146661
013107 146662
013107 146663
013107 146664
013107 146666
013107 146667
013107 137347
013107 015207
000003 324525
000001 133677
011653 115244
011016 016520
000003 250244
000003 234620
011447 254655
000001 215254
000001 225013
000001 221541
000001 040570
000001 260123
000001 257377
000001 305270
000001 010340
000001 173236
000001 305267
011447 142660
021476 326750
000001 320663
011447 142661
011447 113415
011447 225424
011447 133410
011447 225012
011447 074305
000003 273463
000003 262461
011346 112617
000001 000004
011447 260007
011447 260004
011447 260002
000003 112233
011447 260005
000003 251616
000001 154217
000003 024177
000007 357207
011447 254651
000004 156567
000004 177020
000003 776655
000004 153516
000257 000257
011346 340524
011334 354155
000003 346701
000003 212141
000003 252045
023036 211201
011020 235211
011334 050023
000003 700124
000001 135272
000003 050527
000003 700300
000003 235436
021477 175251
000004 125552
000001 000001
017705 250600
000004 125553
000006 000270
000003 212144
000011 000562
000006 144222
000001 000036
000001 364312
011447 113407
000007 275515
000003 700401
000001 075305
000003 700241
000003 700404
000003 377411
000004 207133
000004 173426
000003 000117
000003 016622
014717 227554
000003 300745
000003 225443
011334 165105
000003 212137
000003 700306
000003 000633
000003 275244
000007 273043
000003 225444
000003 700403
000003 270100
000003 253600
000003 377412
000003 136773
000003 346702
026204 240661
026545 244532
026545 244531
026545 244530
021171 203631
025526 234362
023514 214373
026204 240653
026204 240652
026204 240651
026773 247754
024466 234401
026656 246501
026452 243604
024135 223204
022157 250430
022157 247037
025447 233402
011346 276120
000001 150344
000001 000003
021477 325204
000004 167656
000004 167662
011334 057510
000003 717040
000004 163162
000001 231540
000004 162145
000003 330611
000001 142734
021476 256402
011334 050017
000001 042313
000001 063550
016436 117735
016436 152445
000003 700240
